t,amount,length,area,id_relation,Pays
2025-10-19T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-20T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-21T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-22T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-23T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-24T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-25T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-26T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-27T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-28T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-29T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
2025-10-30T00:00:00.000Z,18098,0,0,/boundary/195267,Angola
