t,length,area,labels.distribution.amount,labels.distribution.length,labels.distribution.area,labels.transmission.amount,labels.transmission.length,labels.transmission.area,labels.transmission_overhead.amount,labels.transmission_overhead.length,labels.transmission_overhead.area,Country,growth_percent,growth_km
2025-11-13T00:00:00Z,235.178837315457,0,,,,15,235.178837315457,0,15,235.178837315457,0,Madagascar,0.032233223583049,7.34385589612901
2025-11-13T00:00:00Z,2473.16347343677,0,5,126783.484731705,0,75,2346.37998870506,0,75,2346.37998870506,0,Malawi,0.0085247231411819,20.9048260396298
2025-11-13T00:00:00Z,16001.3975374386,0,16,231200.238138901,0,2039,15879.8843271819,0,2037,15865.1189909641,0,Malaysia,0.0193295241282078,303.4341618325
2025-11-13T00:00:00Z,17.8398438527374,0,,,,3,17.8398438527374,0,,,,Maldives,0,0
2025-11-13T00:00:00Z,2017.92317714998,0,,,,25,2017.92317714998,0,25,2017.92317714998,0,Mali,0.0552246898092864,105.60706415732
2025-11-13T00:00:00Z,158.158339376373,0,19,50395.4404647161,0,4,107.762898911657,0,,,,Malta,-0.0323031683412501,-5.27956204288699
2025-11-13T00:00:00Z,982.448857971864,0,,,,11,982.448857971864,0,11,982.448857971864,0,Mauritania,2.0366335892853e-14,2.00088834390044e-11
2025-11-13T00:00:00Z,150.891874918142,0,,,,12,150.891874918142,0,12,150.891874918142,0,Mauritius,4.02276430481678e-12,6.07002448305138e-10
2025-11-13T00:00:00Z,85447.9365598785,0,12,35281.8906017182,0,8822,85412.0785480625,0,8755,85376.8990739242,0,Mexico,0.0149332852968738,1257.24363676239
2025-11-13T00:00:00Z,11633.3285193038,0,5807,7107036.84452975,0,636,4530.1929580277,0,635,4529.75646319368,0,Moldova,0.0137786108160429,158.1125350767
2025-11-13T00:00:00Z,9618.25677767694,0,66,2119627.19907177,0,247,7498.62957860517,0,247,7498.62957860517,0,Mongolia,0.38703248235679,2683.84327256999
2025-11-13T00:00:00Z,2103.22558974774,0,18,95124.2581311558,0,261,2008.10133161659,0,259,2001.84203071897,0,Montenegro,0.0316401265370655,64.5053658575598
2025-11-13T00:00:00Z,24553.9557382163,0,79,827484.453816655,0,1482,23726.4712843997,0,1474,23679.2917286115,0,Morocco,0.0169246433546962,408.6506768539
2025-11-13T00:00:00Z,10174.4753720153,0,4,11486.9930077656,0,191,10162.9883790076,0,190,10162.4143898909,0,Mozambique,0.0255595531442636,253.57381069556
2025-11-13T00:00:00Z,14982.3173963084,0,89,374072.433267493,0,497,14611.2382283558,0,497,14611.2382283558,0,Myanmar,-0.0915654891304262,-1510.1399212444
2025-11-13T00:00:00Z,11976.6085154606,0,56,372284.919113435,0,263,11604.3235963472,0,263,11604.3235963472,0,Namibia,-1.97347873957703e-05,-0.236360487298953
2025-11-13T00:00:00Z,4161.9572833392,0,7,83561.317465656,0,424,4078.39596587355,0,424,4078.39596587355,0,Nepal,0.439154155206112,1270.01046285204
