t,amount_1d,amount_30d,labels.distribution.amount_1d,labels.distribution.amount_30d,labels.generation.amount_1d,labels.generation.amount_30d,labels.industrial.amount_1d,labels.industrial.amount_30d,labels.transmission.amount_1d,labels.transmission.amount_30d,id_relation,Pays
2024-03-01T00:00:00.000Z,0,12,0,1,0,1,0,1,0,6,/boundary/286393,Argentina
2024-04-01T00:00:00.000Z,0,6,,,,,,,0,3,/boundary/286393,Argentina
2024-05-01T00:00:00.000Z,1,10,0,2,,,1,1,0,2,/boundary/286393,Argentina
2024-06-01T00:00:00.000Z,0,7,0,2,,,0,1,0,2,/boundary/286393,Argentina
2024-07-01T00:00:00.000Z,0,7,,,,,,,0,2,/boundary/286393,Argentina
2024-08-01T00:00:00.000Z,1,9,0,1,,,0,1,0,2,/boundary/286393,Argentina
2024-09-01T00:00:00.000Z,0,4,,,,,,,0,2,/boundary/286393,Argentina
2024-10-01T00:00:00.000Z,0,10,,,,,,,0,4,/boundary/286393,Argentina
2024-11-01T00:00:00.000Z,0,11,0,3,0,1,0,1,0,6,/boundary/286393,Argentina
2024-12-01T00:00:00.000Z,0,6,,,0,1,,,0,1,/boundary/286393,Argentina
2025-01-01T00:00:00.000Z,0,4,,,,,,,,,/boundary/286393,Argentina
2025-02-01T00:00:00.000Z,0,9,0,1,,,,,0,4,/boundary/286393,Argentina
2025-03-01T00:00:00.000Z,1,9,0,1,,,,,0,5,/boundary/286393,Argentina
2025-04-01T00:00:00.000Z,1,13,,,,,,,0,1,/boundary/286393,Argentina
2025-05-01T00:00:00.000Z,1,10,0,1,0,1,,,0,2,/boundary/286393,Argentina
2025-06-01T00:00:00.000Z,1,8,,,,,1,1,0,3,/boundary/286393,Argentina
2025-07-01T00:00:00.000Z,0,8,0,1,,,,,0,2,/boundary/286393,Argentina
2025-08-01T00:00:00.000Z,0,8,0,1,0,1,0,1,0,2,/boundary/286393,Argentina
2025-09-01T00:00:00.000Z,0,8,,,0,1,0,1,0,3,/boundary/286393,Argentina
2025-10-01T00:00:00.000Z,1,8,0,2,,,,,0,5,/boundary/286393,Argentina
