t,amount,length,labels.distribution.amount,labels.distribution.length,labels.transmission.amount,labels.transmission.length,labels.transmission_overhead.amount,labels.transmission_overhead.length,id_relation,Pays
2025-10-12T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-13T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-14T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-15T00:00:00.000Z,1642,32627.1687670909,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-16T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-17T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-18T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-19T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-20T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-21T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-22T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-23T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-24T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-25T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-26T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-27T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-28T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-29T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2025-10-30T00:00:00.000Z,1642,32627.168767091,29,296982.755978452,1613,32330.1860111125,1594,32312.4795979263,/boundary/192756,Algeria
2024-10-01T00:00:00.000Z,9,59.2415601938691,,,9,59.2415601938691,8,59.176256430736,/boundary/9407,Andorra
2024-11-01T00:00:00.000Z,9,59.2415601944346,,,9,59.2415601944346,8,59.1762564313016,/boundary/9407,Andorra
2024-12-01T00:00:00.000Z,9,59.2415601944346,,,9,59.2415601944346,8,59.1762564313016,/boundary/9407,Andorra
2025-01-01T00:00:00.000Z,9,59.2415601944346,,,9,59.2415601944346,8,59.1762564313016,/boundary/9407,Andorra
2025-02-01T00:00:00.000Z,9,59.2415601944346,,,9,59.2415601944346,8,59.1762564313016,/boundary/9407,Andorra
2025-03-01T00:00:00.000Z,9,59.2415601944346,,,9,59.2415601944346,8,59.1762564313016,/boundary/9407,Andorra
2025-04-01T00:00:00.000Z,9,59.2415601944695,,,9,59.2415601944695,8,59.1762564313364,/boundary/9407,Andorra
2025-05-01T00:00:00.000Z,9,59.2415601949468,,,9,59.2415601949468,8,59.1762564318138,/boundary/9407,Andorra
2025-06-01T00:00:00.000Z,9,55.183888246408,,,9,55.183888246408,8,55.1185844832749,/boundary/9407,Andorra
2025-07-01T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-08-01T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-09-01T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-01T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-02T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-03T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-04T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-05T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-06T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-07T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-08T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-09T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-10T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-11T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-12T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-13T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-14T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-15T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-16T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-17T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-18T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-19T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-20T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-21T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
2025-10-22T00:00:00.000Z,9,55.1848287405619,,,9,55.1848287405619,8,55.1195249774288,/boundary/9407,Andorra
